KXNFLWINS-BAL | Pro football wins Baltimore
KXKYLEMILETIME | Will Nelk's Kyle Forgeard first mile be completed in 8 minutes
KXBUNDESLIGA1H | Bundesliga First Half Winner
KXNFLFANTASYMOST | Pro Football Most Fantasy Points
KXT20SIX | T20 Total Sixes
KXNFL4QWINNER | Pro Football 4th Quarter Winner
KXKELCERETIRE | Travis Kelce Retire
KXNHLPRES | NHL President's Trophy Winner
KXUFCFLYWEIGHTTITLE | UFC Flyweight Title
KXCOPPAITALIA | Coppa Italia Winner
KXWINSTREAKMANU | Man United Win Streak
KXPGAROUNDBIRDIES | Golf Round Birdies
KXMLBALCPOTY | Pro Baseball American League Comeback Player of the Year
KXNEXTCOACHOUTNBA | Next coach out NBA
KXPGAR1TOP5 | PGA Round 1 Top 5 FInishers
KXMANAGERSOUT | Managers Out
KXLEADERMLBWINS | MLB Wins Leader
KXHEISMANFINALIST | Defensive Heisman Finalist
KXNFLWINS-HOU | Pro football wins Houston
KXF1 | Formula 1
KXEWCCHESS2025 | Chess – Esports World Cup Winner?
KXF1POLEPOSITION | Qualify in Pole Position
KXNCAAFPAC12 | Pac-12 Champion
KXNEWCOACHNO | New Orleans Saints new coach
KXNBADRAFTTOP15 | NBA Draft Top 15 Pick
KXNFLWINS-PIT | Pro football wins Pittsburgh
KXBOXINGKNOCKOUT | Boxing Knockout
KXQUADRUPLEDOUBLE | Quadruple Double
KXDENSUPERLIGA | Danish Superliga Champion
KXRANKLISTBONK | Bonk top 100 currencies by end of year
KXMLBWINS-TOR | Pro baseball wins Toronto
KXTHAIL1 | Thai 1 League
KXCHNSL | Chinese Super League
KXWO | Winter Olympics Medals
KXRANKLISTCS2PLAYER | HLTV Player of Year
KXEPLPOY | EPL Player Of The Year 
KXUEFACL | UEFA Champions League
KXCHESSNORWAY | Norway Chess Tournament
KXNFLDRAFTOU | Will Player be drafted before or after pick?
KXNCAAWBNIT | Women's NIT Tournament Champion
KXFRASUPERCUPADVANCE | France Super Cup to Advance
KXNBA1HWINNER | Pro Baskeball 1st Half Winner
KXNCAAMBIGTEN | big ten MEN'S BASKETBALL TOURNAMENT
KXJOINEKITIKE | Hugo Ekitike
KXAOMEN | Australian Open Mens
KXWO-SILVER | Winter Olympics Most Silver Medals
KXWNBAROTY | Pro Women's Basketball Rookie of the Year
KXNFLEXACTWINSNYJ | Pro football exact wins New York J
KXLBJRETIRE | LBJ retire
KXPGAWINNERREGION | PGA Tournament Winner Region
KXLEADERMLBERA | MLB ERA Leader
KXCOD | COD Tournament Winner
KXNBA3PT | Pro Basketball Player Threes
KXNFL2QWINNER | Pro Football 2nd Quarter Winner
KXNCAAMBIG12 | Big 12 MEN'S BASKETBALL TOURNAMENT
KXEWCRB6 | Rainbow Six at 2025 Esports World Cup
KXNBADRAFTTRADE | NBA Draft Trade
KXNASCARTOP5 | NASCAR Top 5 Finishers
KXMIDSEASONINVITATIONAL | 2025 Mid-Season Invitational
KXIMOCOUNTRY |  International Mathematical Olympiad Country Winner
KXESPORTSTEST | TESTING
KXNEXTTEAMVERSTAPPEN | Will Max Verstappen go to Mercedes?
KXCLUBWC | Club World Cup Championship
KXUFCTITLE | UFC Title
KXMLBALWEST | American League West Winner
KXRANKLISTAICODE | AI Coding
KXLEADERNFLPYDS | NFL leader passing yards
KXNBAOVERTIME | NBA Overtime
KXWOWHOCKEY | Winter Olympics Women's Hockey
KXNBADRAFTTOP10 | NBA Draft Top 10 Pick
KXNFLEXACTWINSDAL | Pro football exact wins Dallas
KXMLBWINS-KC | Pro baseball wins Kansas City
KXNFLDRAFTTE | Pro Football Tight End Drafted
KXEWCCALLOFDUTYBLOPS6 | Call of Duty: Black Ops 6 at 2025 Esports World Cup
KXNCAAMBSBELT | Sun Belt Conference Tournament
KXLEADERNBASTL | NBA SPG Leader
KXMLBNL | MLB National League Championship
KXNBAFINALSVIEWER | NBA finals viewership
KXMARMADPTS | Men's March Madness Points
KXNASCARFASTLAP | NASCAR Fastest Lap
KXBSOUTOURNAMENT | Big South Tournament
KXNFLCOMBINE40 | Pro Football Combine Fastest 40 Time
KXSOCCERTRANSFER | Soccer Transfer
KXGRANDSLAMSINNERALCARAZ | Sinner Alcaraz grand slam
KXWTASERENA | Serena Williams WTA
KXMLBALHAARON | Pro Baseball American League Hank Aaron
KXNCAAMBSOCON | Southern Conference Tournament
KXNCAAMBBIGEAST | Big East Conference Tournament
KXEPLFIRSTGOAL | EPL 1st Goalscorer
KXUEFAISRAELBAN | UEFA Israel Ban
KXCOACHOUTAUB | HUGH FREEZE OUT 2026
KXEUROVISIONISRAELBAN | Eurovision Israel ban
KXCHESSTTEARLY | Chess Titled Tuesday Early
KXNFLPRIMETIME | Pro Football Primetime Games
KXNFLEXACTWINSNO | Pro football exact wins New Orleans
KXRANKLISTSUI | Sui top 10
KXMWREG | Mountain West Regular Season Champions
KXMLBHR | Pro Baseball Home Runs
KXMLSEAST | MLS Western Conference winner?
KXWBCRFI | World Baseball Class Run in First Inning
KXWTAMAD | WTA Madrid
KXNFLEXACTWINSATL | Pro football exact wins Atlanta
KXTUSHPUSH | Tush Push ban
KXMLBNLMVP | Pro Baseball National League MVP
KXNFLMOSTRECYDS | Pro Football Most Receiving Yards
KXTEAMSINWS | Teams in MLB Finals
KXNCAABBIG12 | Big 12 Men's Basketball Tournament
KXHEISMAN | Heisman Trophy Winner
KXUECLADVANCE | Conference League Advance
KXSERIEA1H | Serie A First Half Winner
KXWOMHOCKEYMVP | Men's Winter Olympics Hockey MVP
KXMASTERS | Masters Tournament
KXMLBPITCHEROTM | Pro Baseball Pitcher of the Month
KXNFLAFCEAST | American Football Conference East Winner
KXJOINMBAPPE | Kylian Mbappe next team
KXBOXING1MIN | Boxing 1 Minute Fight
KXNASCARCUPCHAMP | Nascar Cup Series Championship
KXNFLEXACTWINSKC | Pro football exact wins Kansas City
KXNHLADAMS | NHL Jack Adams Award
KXWNBACOY | WNBA Coach of the Year
KXPGAMAJORTOP10 | PGA Top 10 for All 4 Majors
KXUCLRO4 | UCL Advance to Round of 4
KXFOMENSINGLES | French Open men's singles
KXDFBPOKALADVANCE | DFB Pokal Advance
KXNCAAPLAYOFF | College Football Playoff Qualifiers
KXEFLCUPADVANCE | EFL Cup Advance
KXNCAAMACC | ACC MEN'S BASKETBALL TOURNAMENT
KXLEADERUCLGOALS | UCL Top Goalscorer
KXMLBHIT | Pro Baseball Hits
KXLPGATOUR | PGA Tour
KXMLBHRDERBY | Pro Baseball Homerun Derby
KXNBASERIESSCORE | NBA Series Exact Score
KXNFLREDZONEADS | NFL Redzone ads
KXOLDESTCUT | Oldest Player to make the Cut
KXNFLRSHYDS | Pro Football player Rushing Yards
KXNBATRADE | NBA Trade
KXEWCRSS | Rainbow Six at 2025 Esports World Cup
KXNFLEXACTWINSLA | Pro football exact wins Los Angeles R
KXCHESSSINQUEFIELD | sinquefield chess winner
